sheet,level,topic
"Greetings, Basics & Courtesy",A1,"Greetings, Basics & Courtesy"
"Questions, Directions & Emergen",A1,"Questions, Directions & Emergencies"
"Daily Life, Routine & Feelings",A1,"Daily Life, Routine & Feelings"
Basic,A1,Basic
Verbs,A1,Verbs
Food,A1,Food
City,A1,City
"Restaurant, Food & Shopping",A2,"Restaurant, Food & Shopping"
"Travel, Lodging & Weather",B1,"Travel, Lodging & Weather"
Emotions,B1,Emotions
House and Home,B2,House and Home
Weather,C1,Weather
Shopping,B1,Shopping
Daily Routine,A2,Daily Routine
At the Doctor,C1,At the Doctor
Food and Drinks,A2,Food and Drinks
Work,B2,Work
School,B2,School
Travel,B1,Travel
Hobbies,A1,Hobbies
Clothes,B1,Clothes
Transport,A2,Transport
Restaurant,A1,Restaurant
Friends and Relationships,B2,Friends and Relationships
Family,B2,Family
Technology,C1,Technology
Holidays,C1,Holidays
Sports,C1,Sports
City and Directions,B2,City and Directions
