language,channel_name,channel_url
English,BBC Learning English,https://www.youtube.com/@bbclearningenglish
English,Easy English,https://www.youtube.com/@EasyEnglishVideos
English,British Council | English,https://www.youtube.com/@BritishCouncilEnglish
English,Learn English With TV Series,https://www.youtube.com/@LearnEnglishWithTVSeries
Ukrainian,Діана Лагіш,https://www.youtube.com/@dianalahish
Ukrainian,Immersive Ukrainian wHanna,https://www.youtube.com/@Ukrainian.Language
Ukrainian,InnerUkr: Learn Ukrainian,https://www.youtube.com/@InnerUkr
Ukrainian,Slow Ukrainian,https://www.youtube.com/@slowukrainian
Spanish,LingoClub,https://www.youtube.com/@LingoClub
Spanish,Spanish Talks Café,https://www.youtube.com/@SpanishTalksCafe
Spanish,Easy Spanish,https://www.youtube.com/@EasySpanish
Spanish,Dreaming Spanish,https://www.youtube.com/@DreamingSpanish
Spanish,Spanish Playground,https://www.youtube.com/@SpanishPlayground
Korean,Comprehensible Korean (몰입한국어),https://www.youtube.com/@morip.korean
Korean,태웅쌤 Comprehensible Input Korean,https://www.youtube.com/@ComprehensibleInputKorean
Korean,Talk To Me In Korean,https://www.youtube.com/@talktomeinkorean
Korean,GO! Billy Korean,https://www.youtube.com/@GoBillyKorean
French,French Comprehensible Input,https://www.youtube.com/@FrenchComprehensibleInput
French,Easy French,https://www.youtube.com/@EasyFrench
French,Sebastian's French Corner,https://www.youtube.com/@Sebastians_French_Corner
French,Alice Ayel,https://www.youtube.com/@aliceayel
French,Français avec Nelly,https://www.youtube.com/@francaisavecnelly
German,Deutsch lernen mit der DW (Nicos Weg),https://www.youtube.com/@dwlearngerman
German,Easy German,https://www.youtube.com/@EasyGerman
German,Learn German with Anja,https://www.youtube.com/@LearnGermanwithAnja
Japanese,Japarrot! - Let's Learn Japanese,https://www.youtube.com/@Japarrot_LetsLearnJP
Japanese,Japanese by Yu - INARIS,https://www.youtube.com/@japanesebyyu
Japanese,けんさんおかえり Japanese,https://www.youtube.com/@kensanokaeri
Japanese,いろいろな日本語,https://www.youtube.com/@iroironanihongo
Japanese,JapanesePod101,https://www.youtube.com/@JapanesePod101
Chinese,Mandarin Click,https://www.youtube.com/@MandarinClick
Chinese,Chilling Chinese,https://www.youtube.com/@ChillingChinese
Chinese,Learn Chinese Through Podcast,https://www.youtube.com/@LearnChineseThroughPodcast
Chinese,Grace Mandarin Chinese,https://www.youtube.com/@GraceMandarinChinese
Portuguese,The Sounds of Portuguese,https://www.youtube.com/@Portuguesewithadelina
Portuguese,Brazilian Portuguese with Sofia,https://www.youtube.com/@PortugueseWithSofia
Portuguese,Practice Portuguese,https://www.youtube.com/@PracticePortuguese
Italian,Italy Point of View,https://www.youtube.com/@ItalyPointofView-191
Italian,Say ITALY,https://www.youtube.com/@SayItaly
Italian,Podcast Italiano,https://www.youtube.com/@PodcastItaliano
Polish,Learn Polish with Michał,https://www.youtube.com/@LearnPolishwithMichal
Polish,Easy Polish,https://www.youtube.com/@EasyPolish
Polish,Polski z Anią // Polish with Ania,https://www.youtube.com/@PolskizAni%C4%85PolishwithAnia
Russian,Sergey Storyteller,https://www.youtube.com/@SergeyStoryteller
Russian,Russian With Max,https://www.youtube.com/@RussianWithMax
Russian,Real Russian Club,https://www.youtube.com/@RealRussianClub
Catalan,Easy Catalan,https://www.youtube.com/@EasyCatalan
Catalan,Català al Natural,https://www.youtube.com/@catalaalnatural1192
Dutch,DutchLikeAPro,https://www.youtube.com/@DutchLikeAPro
Dutch,Easy Dutch,https://www.youtube.com/@EasyDutch
Dutch,Dutch Daily,https://www.youtube.com/@Dutch-Daily
Dutch,Learn Dutch with Kim,https://www.youtube.com/@learndutchwithkim
